expName,subjectId,subjectGender,subjectAge,session,block,blockType,trial,setSize,targetOri,targetPos,distrMean,dtype,dsd,targetDist,t_dist_to_prev_d,answer,rt,correct,prev_correct,blockId,tid
set_size_experiment_1,1,f,27,3,93,probe,1,36,-8,19,-88,norm,10,-80,-47.150344041,i,424.070812762,1,1,510,1278
set_size_experiment_1,1,f,27,3,94,prime,0,24,154,12,221,norm,15,66.99999999997,61.4062392164,i,1421.67388834,1,1,511,1279
set_size_experiment_1,1,f,27,3,94,prime,1,24,143,12,221,norm,15,77.99999999997,50.4062392164,i,530.05743213,1,1,511,1280
set_size_experiment_1,1,f,27,3,94,prime,2,24,122,2,221,norm,15,-80.99999999963,29.406239216,i,460.462378338,1,1,511,1281
set_size_experiment_1,1,f,27,3,95,probe,0,36,229,6,110,norm,10,60.99999999958,8.42042438605,j,596.865558997,1,1,512,1282
set_size_experiment_1,1,f,27,3,95,probe,1,36,229,35,145,norm,10,-84.00000000002,8.42042438605,j,491.807403043,1,1,512,1283
set_size_experiment_1,1,f,27,3,96,prime,0,36,26,7,92,uni,15,66,60.3894256006,i,548.070907593,1,1,513,1284
set_size_experiment_1,1,f,27,3,96,prime,1,36,27,1,92,uni,15,65,61.3894256006,j,508.600108325,1,1,513,1285
set_size_experiment_1,1,f,27,3,96,prime,2,36,-11,13,92,uni,15,-77,23.3894256006,j,518.052037805,1,1,513,1286
set_size_experiment_1,1,f,27,3,96,prime,3,36,-27,29,92,uni,15,-61,7.38942560060002,i,542.065903544,1,1,513,1287
set_size_experiment_1,1,f,27,3,97,probe,0,36,82,25,-5,norm,10,-87,-9.90030010000001,i,454.700067639,1,1,514,1288
set_size_experiment_1,1,f,27,3,98,prime,0,14,111,3,193,uni,15,82.0000000004,-63.527420038,j,983.281627297,1,1,515,1289
set_size_experiment_1,1,f,27,3,98,prime,1,14,77,3,193,uni,15,-63.9999999996,82.472579962,j,541.639363393,1,1,515,1290
set_size_experiment_1,1,f,27,3,98,prime,2,14,90,1,193,uni,15,-76.9999999996,-84.527420038,j,674.846004695,1,1,515,1291
set_size_experiment_1,1,f,27,3,99,probe,0,36,169,20,62,norm,10,72.9999999999,-24.3202754303,i,485.341627151,0,1,516,1292
