expName,subjectId,subjectGender,subjectAge,session,block,trial,targetOri,targetPos,distrMean,dtype,dsd,targetDist,t_dist_to_prev_d,answer,correctAnswer,rt,correct,prev_correct,blockId,tid,d_ori_0,d_ori_1,d_ori_2,d_ori_3,d_ori_4,d_ori_5,d_ori_6,d_ori_7,d_ori_8,d_ori_9,d_ori_10,d_ori_11,d_ori_12,d_ori_13,d_ori_14,d_ori_15,d_ori_16,d_ori_17,d_ori_18,d_ori_19,d_ori_20,d_ori_21,d_ori_22,d_ori_23,d_ori_24,d_ori_25,d_ori_26,d_ori_27,d_ori_28,d_ori_29,d_ori_30,d_ori_31,d_ori_32,d_ori_33,d_ori_34,d_ori_35
distr_stats,1,F,26,1,5,1,122,22,34,norm,10,88,8,i,i,670.382851753,1,1,6,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,5,2,122,1,34,norm,10,88,8,j,j,623.708467976,1,1,6,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,5,3,122,22,34,norm,10,88,8,i,i,639.212004936,1,1,6,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,5,4,122,35,34,norm,10,88,8,i,i,1311.30206843,1,1,6,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,6,0,108,28,174,norm,15,-66,74,i,i,639.592654208,1,1,7,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,6,1,108,1,174,norm,15,-66,74,j,j,686.101926342,1,1,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,6,2,108,34,174,norm,15,-66,74,i,i,655.486657889,1,1,7,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,6,3,108,30,174,norm,15,-66,74,i,j,1342.48674892,0,1,7,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,6,4,108,16,174,norm,15,-66,74,i,i,514.472836706,1,0,7,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,7,0,151,6,34,norm,5,-63,-23,j,j,623.604938514,1,1,8,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
