SubjID,BlockNr,Sequence,Trial,Stability,MeanSize,MeanSizeDeg,SetSize,BuildOrTest,TargetOri,Response,ACC,RT,training
1,2,14,3,2,74,2,30,0,45,45,1,2377.18,0
1,2,14,4,2,111,3,30,1,45,45,1,1338.11,0
1,2,14,5,2,55.5,1.5,30,1,45,45,1,4082.26,0
1,2,14,6,2,92.5,2.5,30,1,45,45,1,6845,0
1,2,15,1,2,74,2,10,0,45,45,1,1086.78,0
1,2,15,2,2,74,2,10,0,-45,-45,1,1722.47,0
1,2,15,3,2,74,2,10,0,45,45,1,1139.7,0
1,2,15,4,2,92.5,2.5,10,1,-45,-45,1,2139.71,0
1,2,15,5,2,55.5,1.5,10,1,-45,-45,1,1610.92,0
1,2,15,6,2,74,2,10,1,45,45,1,1898.75,0
1,2,16,1,2,92.5,2.5,30,0,-45,45,0,10903.98,0
1,2,16,2,2,92.5,2.5,30,0,-45,-45,1,8912.09,0
1,2,16,3,2,92.5,2.5,30,0,-45,-45,1,1184.12,0
1,2,16,4,2,74,2,30,1,-45,-45,1,1705.23,0
1,2,16,5,2,55.5,1.5,30,1,-45,-45,1,1498.21,0
1,2,16,6,2,92.5,2.5,30,1,45,45,1,3728.46,0
1,2,17,1,1,74,2,30,0,45,45,1,1701.94,0
1,2,17,2,1,74,2,30,0,-45,-45,1,2906.82,0
1,2,17,3,1,74,2,30,0,-45,-45,1,6676.14,0
1,2,17,4,1,74,2,30,1,-45,-45,1,2033.31,0
1,2,17,5,1,74,2,30,1,45,45,1,1638.47,0
1,2,17,6,1,74,2,30,1,-45,-45,1,1673.59,0
1,2,18,1,1,74,2,30,0,45,45,1,1868.08,0
1,2,18,2,1,74,2,30,0,45,45,1,3735.1,0
1,2,18,3,1,74,2,30,0,-45,-45,1,1436.76,0
1,2,18,4,1,74,2,30,1,45,45,1,1597.96,0
1,2,18,5,1,74,2,30,1,45,45,1,1212.4,0
1,2,18,6,1,74,2,30,1,-45,-45,1,1906.15,0
1,2,19,1,2,111,3,30,0,45,45,1,7038.19,0
1,2,19,2,2,111,3,30,0,45,45,1,11245.56,0
1,2,19,3,2,111,3,30,0,-45,-45,1,3537.4,0
1,2,19,4,2,55.5,1.5,30,1,-45,-45,1,4217.76,0
1,2,19,5,2,92.5,2.5,30,1,-45,-45,1,4085.34,0
1,2,19,6,2,111,3,30,1,45,-45,0,12075.79,0
1,2,20,1,1,111,3,10,0,-45,-45,1,2712.52,0
1,2,20,2,1,111,3,10,0,-45,-45,1,2511.41,0
1,2,20,3,1,111,3,10,0,45,45,1,2420.53,0
1,2,20,4,1,111,3,10,1,-45,-45,1,3606.51,0
1,2,20,5,1,111,3,10,1,45,45,1,1688.66,0
1,2,20,6,1,111,3,10,1,45,45,1,1140.24,0
1,2,21,1,1,55.5,1.5,20,0,-45,-45,1,3262.38,0
1,2,21,2,1,55.5,1.5,20,0,45,45,1,1699.69,0
1,2,21,3,1,55.5,1.5,20,0,-45,-45,1,4468.38,0
1,2,21,4,1,55.5,1.5,20,1,-45,-45,1,1287.61,0
1,2,21,5,1,55.5,1.5,20,1,-45,-45,1,1523.29,0
1,2,21,6,1,55.5,1.5,20,1,45,45,1,2798.47,0
1,2,22,1,2,74,2,10,0,45,45,1,2157.9,0
1,2,22,2,2,74,2,10,0,45,45,1,2747.45,0
1,2,22,3,2,74,2,10,0,-45,-45,1,3584.74,0
1,2,22,4,2,111,3,10,1,-45,-45,1,6888.39,0
1,2,22,5,2,55.5,1.5,10,1,45,45,1,3579.61,0
1,2,22,6,2,74,2,10,1,45,45,1,2035.64,0
1,2,23,1,1,111,3,30,0,45,45,1,9310.71,0
1,2,23,2,1,111,3,30,0,-45,-45,1,3259.29,0
1,2,23,3,1,111,3,30,0,-45,-45,1,3494.87,0
1,2,23,4,1,111,3,30,1,45,45,1,4185.84,0
1,2,23,5,1,111,3,30,1,-45,-45,1,5623.5,0
1,2,23,6,1,111,3,30,1,45,45,1,1691.7,0
1,2,24,1,1,55.5,1.5,30,0,45,45,1,2871.8,0
1,2,24,2,1,55.5,1.5,30,0,45,45,1,4144.75,0
1,2,24,3,1,55.5,1.5,30,0,-45,-45,1,2197.02,0
1,2,24,4,1,55.5,1.5,30,1,45,45,1,1409.11,0
1,2,24,5,1,55.5,1.5,30,1,-45,-45,1,2262.95,0
1,2,24,6,1,55.5,1.5,30,1,-45,-45,1,1053.45,0
1,3,25,1,2,92.5,2.5,20,0,-45,-45,1,6819.04,0
1,3,25,2,2,92.5,2.5,20,0,-45,-45,1,2567.57,0
1,3,25,3,2,92.5,2.5,20,0,-45,-45,1,8154,0
1,3,25,4,2,55.5,1.5,20,1,45,45,1,4331.47,0
1,3,25,5,2,92.5,2.5,20,1,-45,-45,1,4794.1,0
1,3,25,6,2,74,2,20,1,-45,-45,1,4514.36,0
1,3,26,1,1,74,2,10,0,45,45,1,1709.17,0
1,3,26,2,1,74,2,10,0,45,45,1,1646.18,0
1,3,26,3,1,74,2,10,0,45,45,1,3923.23,0
1,3,26,4,1,74,2,10,1,45,45,1,917.47,0
1,3,26,5,1,74,2,10,1,-45,-45,1,1167.16,0
1,3,26,6,1,74,2,10,1,-45,-45,1,1337.49,0
1,3,27,1,2,74,2,10,0,45,45,1,1739.61,0
1,3,27,2,2,74,2,10,0,-45,-45,1,850.6,0
1,3,27,3,2,74,2,10,0,45,45,1,2416.71,0
1,3,27,4,2,55.5,1.5,10,1,45,45,1,1719.39,0
1,3,27,5,2,74,2,10,1,45,45,1,700.25,0
1,3,27,6,2,92.5,2.5,10,1,45,45,1,931.69,0
1,3,28,1,1,92.5,2.5,20,0,-45,-45,1,1877.39,0
1,3,28,2,1,92.5,2.5,20,0,-45,-45,1,4810.39,0
1,3,28,3,1,92.5,2.5,20,0,45,45,1,2659.76,0
1,3,28,4,1,92.5,2.5,20,1,-45,-45,1,1500.98,0
1,3,28,5,1,92.5,2.5,20,1,-45,-45,1,2654.45,0
1,3,28,6,1,92.5,2.5,20,1,-45,-45,1,7020.68,0
1,3,29,1,1,92.5,2.5,10,0,-45,-45,1,2524.5,0
1,3,29,2,1,92.5,2.5,10,0,45,45,1,1118.25,0
1,3,29,3,1,92.5,2.5,10,0,-45,-45,1,3681.23,0
1,3,29,4,1,92.5,2.5,10,1,-45,-45,1,2417.85,0
1,3,29,5,1,92.5,2.5,10,1,-45,-45,1,2736.88,0
1,3,29,6,1,92.5,2.5,10,1,-45,-45,1,2574.36,0
1,3,30,1,2,55.5,1.5,10,0,-45,-45,1,5196.43,0
1,3,30,2,2,55.5,1.5,10,0,45,45,1,1205.27,0
1,3,30,3,2,55.5,1.5,10,0,45,45,1,1551.14,0
1,3,30,4,2,74,2,10,1,-45,-45,1,4827.42,0
1,3,30,5,2,92.5,2.5,10,1,-45,-45,1,12195.15,0
1,3,30,6,2,111,3,10,1,-45,-45,1,3047.18,0
1,3,31,1,2,111,3,10,0,45,45,1,2223.22,0
1,3,31,2,2,111,3,10,0,45,45,1,5818.51,0
1,3,31,3,2,111,3,10,0,45,45,1,4329.51,0
1,3,31,4,2,55.5,1.5,10,1,-45,-45,1,2033.45,0
1,3,31,5,2,74,2,10,1,45,45,1,2618.5,0
1,3,31,6,2,92.5,2.5,10,1,45,45,1,1383.3,0
1,3,32,1,2,55.5,1.5,10,0,-45,-45,1,3421.74,0
1,3,32,2,2,55.5,1.5,10,0,-45,-45,1,2117.26,0
1,3,32,3,2,55.5,1.5,10,0,45,45,1,1522.93,0
1,3,32,4,2,111,3,10,1,-45,-45,1,2060.43,0
1,3,32,5,2,92.5,2.5,10,1,45,45,1,3914.44,0
1,3,32,6,2,55.5,1.5,10,1,45,45,1,3596.24,0
1,3,33,1,1,55.5,1.5,30,0,45,45,1,1984.46,0
1,3,33,2,1,55.5,1.5,30,0,-45,-45,1,821.44,0
1,3,33,3,1,55.5,1.5,30,0,-45,-45,1,2007.91,0
1,3,33,4,1,55.5,1.5,30,1,-45,-45,1,2514.06,0
1,3,33,5,1,55.5,1.5,30,1,-45,-45,1,3278,0
