"expName","subjectId","subjectGender","subjectAge","session","block","trial","targetOri","targetPos","distrMean","dtype","dsd","targetDist","t_dist_to_prev_d","answer","correctAnswer","rt","correct","prev_correct"
"distr_stats",1,"F",26,1,9,"5",38,30,134,"norm",15,84,-56,"j","j",1139.248151,1,1
"distr_stats",1,"F",26,1,10,"0",177,13,74,"norm",10,-77,43,"j","j",748.852382854,1,1
"distr_stats",1,"F",26,1,10,"1",177,12,74,"norm",10,-77,43,"j","j",576.891284942,1,1
"distr_stats",1,"F",26,1,10,"2",177,19,74,"norm",10,-77,43,"j","j",576.911812335,1,1
"distr_stats",1,"F",26,1,10,"3",177,35,74,"norm",10,-77,43,"i","i",561.165516637,1,1
"distr_stats",1,"F",26,1,10,"4",177,27,74,"norm",10,-77,43,"i","i",576.889499951,1,1
"distr_stats",1,"F",26,1,10,"5",177,18,74,"norm",10,-77,43,"j","j",545.753014205,1,1
"distr_stats",1,"F",26,1,10,"6",177,27,74,"norm",10,-77,43,"i","i",592.594294615,1,1
"distr_stats",1,"F",26,1,11,"0",61,10,174,"norm",15,67,-13,"i","i",655.285400184,1,1
"distr_stats",1,"F",26,1,11,"1",61,12,174,"norm",15,67,-13,"i","j",811.514928572,0,1
"distr_stats",1,"F",26,1,11,"2",61,2,174,"norm",15,67,-13,"j","j",514.273810239,1,0
"distr_stats",1,"F",26,1,11,"3",61,25,174,"norm",15,67,-13,"j","j",780.134345344,1,1
"distr_stats",1,"F",26,1,11,"4",61,32,174,"norm",15,67,-13,"j","j",780.053574514,1,1
"distr_stats",1,"F",26,1,11,"5",61,5,174,"norm",15,67,-13,"i","i",686.509796723,1,1
"distr_stats",1,"F",26,1,12,"0",3,27,74,"norm",10,-71,9,"i","i",1264.4924716,1,1
"distr_stats",1,"F",26,1,12,"1",3,21,74,"norm",10,-71,9,"i","i",624.027535069,1,1
"distr_stats",1,"F",26,1,12,"2",3,20,74,"norm",10,-71,9,"j","j",639.366406633,1,1
"distr_stats",1,"F",26,1,12,"3",3,25,74,"norm",10,-71,9,"j","j",576.79534169,1,1
"distr_stats",1,"F",26,1,12,"4",3,8,74,"norm",10,-71,9,"j","j",607.928703702,1,1
"distr_stats",1,"F",26,1,12,"5",3,31,74,"norm",10,-71,9,"j","j",670.357415635,1,1
"distr_stats",1,"F",26,1,13,"0",96,29,174,"norm",15,-78,22,"i","i",608.23125963,1,1
"distr_stats",1,"F",26,1,13,"1",96,10,174,"norm",15,-78,22,"i","i",576.679317293,1,1
"distr_stats",1,"F",26,1,13,"2",96,22,174,"norm",15,-78,22,"i","i",530.051343275,1,1
"distr_stats",1,"F",26,1,13,"3",96,34,174,"norm",15,-78,22,"i","i",576.888161208,1,1
"distr_stats",1,"F",26,1,13,"4",96,29,174,"norm",15,-78,22,"i","i",858.116127729,1,1
"distr_stats",1,"F",26,1,13,"5",96,17,174,"norm",15,-78,22,"i","i",577.006863091,1,1
"distr_stats",1,"F",26,1,14,"0",81,32,14,"norm",5,67,87,"j","j",638.984864866,1,1
"distr_stats",1,"F",26,1,14,"1",81,1,14,"norm",5,67,87,"j","j",529.911221503,1,1
"distr_stats",1,"F",26,1,14,"2",81,22,14,"norm",5,67,87,"i","i",530.260633438,1,1
"distr_stats",1,"F",26,1,14,"3",81,33,14,"norm",5,67,87,"i","i",561.169086619,1,1
"distr_stats",1,"F",26,1,14,"4",81,11,14,"norm",5,67,87,"i","i",576.951528379,1,1
"distr_stats",1,"F",26,1,14,"5",81,34,14,"norm",5,67,87,"i","i",592.490318905,1,1
"distr_stats",1,"F",26,1,15,"0",113,23,14,"norm",15,-81,-81,"i","i",639.840767919,1,1
"distr_stats",1,"F",26,1,15,"1",113,17,14,"norm",15,-81,-81,"i","i",764.467481733,1,1
"distr_stats",1,"F",26,1,15,"2",113,35,14,"norm",15,-81,-81,"i","i",530.24099854,1,1
"distr_stats",1,"F",26,1,15,"3",113,15,14,"norm",15,-81,-81,"i","i",698.917713514,1,1
"distr_stats",1,"F",26,1,15,"4",113,30,14,"norm",15,-81,-81,"j","j",608.05231431,1,1
"distr_stats",1,"F",26,1,15,"5",113,14,14,"norm",15,-81,-81,"j","j",654.942235717,1,1
"distr_stats",1,"F",26,1,15,"6",113,24,14,"norm",15,-81,-81,"j","j",623.823599878,1,1
"distr_stats",1,"F",26,1,16,"0",108,4,174,"norm",10,-66,-86,"i","i",733.01282139,1,1
"distr_stats",1,"F",26,1,16,"1",108,34,174,"norm",10,-66,-86,"i","i",514.319327503,1,1
"distr_stats",1,"F",26,1,16,"2",108,8,174,"norm",10,-66,-86,"j","j",530.037509597,1,1
