trial_id,target_pos_x,target_pos_y,target_color_hsv,is_target
1,-4.5,0,"HSV 180,1,1",1
2,1.5,0,"HSV 60,1,1",1
3,-1.5,0,"HSV 180,1,1",1
4,-7.5,0,"HSV 180,1,1",1
5,-7.5,0,"HSV 60,1,1",1
6,1.5,0,"HSV 180,1,1",1
7,-7.5,0,"HSV 180,1,1",1
8,-4.5,0,"HSV 60,1,1",1
9,7.5,0,"HSV 180,1,1",1
10,-4.5,0,"HSV 180,1,1",1
11,-1.5,0,"HSV 60,1,1",1
12,-7.5,0,"HSV 180,1,1",1
13,-7.5,0,"HSV 180,1,1",1
14,-1.5,0,"HSV 60,1,1",1
15,4.5,0,"HSV 180,1,1",1
16,-4.5,0,"HSV 180,1,1",1
17,-4.5,0,"HSV 60,1,1",1
18,-4.5,0,"HSV 180,1,1",1
19,-4.5,0,"HSV 180,1,1",1
20,1.5,0,"HSV 60,1,1",1
21,-1.5,0,"HSV 180,1,1",1
22,-7.5,0,"HSV 180,1,1",1
23,-7.5,0,"HSV 60,1,1",1
24,-4.5,0,"HSV 180,1,1",1
25,-4.5,0,"HSV 180,1,1",1
26,-4.5,0,"HSV 60,1,1",1
27,4.5,0,"HSV 180,1,1",1
28,-7.5,0,"HSV 180,1,1",1
29,1.5,0,"HSV 60,1,1",1
30,7.5,0,"HSV 180,1,1",1
31,-4.5,0,"HSV 180,1,1",1
32,-7.5,0,"HSV 60,1,1",1
33,1.5,0,"HSV 180,1,1",1
34,-7.5,0,"HSV 180,1,1",1
35,-1.5,0,"HSV 60,1,1",1
36,-7.5,0,"HSV 180,1,1",1
37,-7.5,0,"HSV 180,1,1",1
38,1.5,0,"HSV 60,1,1",1
39,1.5,0,"HSV 180,1,1",1
40,-4.5,0,"HSV 180,1,1",1
41,-4.5,0,"HSV 60,1,1",1
42,-4.5,0,"HSV 180,1,1",1
43,-4.5,0,"HSV 180,1,1",1
44,-1.5,0,"HSV 60,1,1",1
45,4.5,0,"HSV 180,1,1",1
46,-7.5,0,"HSV 180,1,1",1
47,-7.5,0,"HSV 60,1,1",1
48,7.5,0,"HSV 180,1,1",1
49,-4.5,0,"HSV 180,1,1",1
50,-4.5,0,"HSV 60,1,1",1
51,-1.5,0,"HSV 180,1,1",1
52,-7.5,0,"HSV 180,1,1",1
53,-7.5,0,"HSV 60,1,1",1
54,-7.5,0,"HSV 180,1,1",1
55,-4.5,0,"HSV 180,1,1",1
56,1.5,0,"HSV 60,1,1",1
57,-4.5,0,"HSV 180,1,1",1
58,-7.5,0,"HSV 180,1,1",1
59,-1.5,0,"HSV 60,1,1",1
60,7.5,0,"HSV 180,1,1",1
61,-7.5,0,"HSV 180,1,1",1
62,-1.5,0,"HSV 60,1,1",1
63,-7.5,0,"HSV 180,1,1",1
64,-4.5,0,"HSV 180,1,1",1
65,1.5,0,"HSV 60,1,1",1
66,-1.5,0,"HSV 180,1,1",1
67,-7.5,0,"HSV 180,1,1",1
68,-7.5,0,"HSV 60,1,1",1
69,4.5,0,"HSV 180,1,1",1
70,-4.5,0,"HSV 180,1,1",1
71,-4.5,0,"HSV 60,1,1",1
72,1.5,0,"HSV 180,1,1",1
73,-4.5,0,"HSV 240,1,1",1
74,1.5,0,"HSV 360,1,1",1
75,1.5,0,"HSV 300,1,1",1
76,-7.5,0,"HSV 240,1,1",1
77,-4.5,0,"HSV 360,1,1",1
78,-4.5,0,"HSV 300,1,1",1
79,-4.5,0,"HSV 240,1,1",1
80,-7.5,0,"HSV 360,1,1",1
81,-7.5,0,"HSV 300,1,1",1
82,-7.5,0,"HSV 240,1,1",1
83,-1.5,0,"HSV 360,1,1",1
84,4.5,0,"HSV 300,1,1",1
85,-4.5,0,"HSV 240,1,1",1
86,-7.5,0,"HSV 360,1,1",1
87,-1.5,0,"HSV 300,1,1",1
88,-7.5,0,"HSV 240,1,1",1
89,-4.5,0,"HSV 360,1,1",1
90,7.5,0,"HSV 300,1,1",1
91,-4.5,0,"HSV 240,1,1",1
92,1.5,0,"HSV 360,1,1",1
93,-7.5,0,"HSV 300,1,1",1
94,-7.5,0,"HSV 240,1,1",1
95,-1.5,0,"HSV 360,1,1",1
96,1.5,0,"HSV 300,1,1",1
97,-7.5,0,"HSV 240,1,1",1
98,-7.5,0,"HSV 360,1,1",1
99,-1.5,0,"HSV 300,1,1",1
100,-4.5,0,"HSV 240,1,1",1
