subjnr;rho;T_present;response;correct;ort1;ort2;ort3;ort4
1;0;0;0;1;9,166936767;-15,77590818;-10,81780963;-7,414811403
1;0;0;0;1;18,29623155;3,849344335;8,863729404;-4,171690653
1;0;1;0;0;17,9988854;-20,9870845;0;16,29123177
1;0;0;0;1;-7,373765697;-25,46737229;-8,70740401;1,722471517
1;0;0;0;1;22,34180991;-13,26530451;7,931013939;-2,137424541
1;0;0;1;0;-6,607994341;-17,78755039;1,479150236;-7,222930847
1;0;0;0;1;24,02268875;-6,537002903;-23,87521028;-12,44172738
1;0;0;0;1;-14,13630092;-22,01234947;7,955750186;-5,130232125
1;0;0;1;0;0,670212006;-6,936723804;-3,996719182;11,39886024
1;0;0;0;1;-30,63816545;-25,30730663;-21,93244001;-2,446508657
1;0;0;0;1;12,89612266;12,5140672;4,332465667;22,16058446
1;0;0;0;1;9,263723439;10,34127637;39,69146821;4,187024155
1;0;0;0;1;0,350388484;2,570574363;-10,72571905;14,8872746
1;0;0;1;0;-12,07496507;13,65176918;5,523542325;-1,794544369
1;0;1;1;1;17,54985233;8,354030926;0;15,11707736
1;0;1;0;0;0;-22,22619256;0,455950003;24,5906261
1;0;0;1;0;-5,758922079;-7,401654354;4,23962111;24,19980182
1;0;0;1;0;20,41923913;13,51741714;7,76909566;-11,28825115
1;0;1;1;1;0;5,829737183;-15,22849194;4,903149802
1;0;0;0;1;-9,325259314;7,447144436;-12,81429435;-4,628000224
1;0;1;0;0;32,31354862;3,073236602;0;14,35841601
1;0;1;1;1;-13,65406037;-5,85430882;-7,388220129;0
1;0;0;0;1;-8,242452576;6,114350191;-7,226994712;10,905187
1;0;0;0;1;-11,12101331;18,24137871;22,80159517;-5,715203723
1;0;1;0;0;1,509584095;31,02589926;-0,452857106;0
1;0;1;0;0;11,32360426;-0,374724401;40,05238294;0
1;0;1;0;0;-12,84776216;7,460902292;-28,67306688;0
1;0;1;1;1;0;12,55915045;37,18162176;-15,03129225
1;0;1;0;0;-15,85885244;0;-21,45105141;8,323487291
1;0;0;0;1;18,36909702;-16,21665931;22,70242265;0,394921512
1;0;0;0;1;13,37638285;-31,42795966;9,123462152;7,055431868
1;0;1;0;0;-21,99394665;7,880179528;-8,988856755;0
1;0;0;0;1;20,89085265;-21,54886236;15,07305663;24,59966812
1;0;1;1;1;11,18549769;0;18,92735853;20,96720256
1;0;1;0;0;0;-12,84572416;-11,3555946;12,5965012
1;0;1;1;1;0;-17,97007041;-0,621326987;10,19764792
1;0;0;1;0;-22,48727907;3,591832068;19,37228554;8,559455461
1;0;0;0;1;-2,25729723;4,711351308;21,92976105;13,6211379
1;0;1;1;1;5,302441595;0;14,60639005;23,7137207
1;0;1;0;0;-10,90678446;-28,10221571;10,04783971;0
1;0;1;1;1;-1,371062721;0;24,86123738;-22,90677315
1;0;1;0;0;18,99212246;9,776731576;-1,713651643;0
1;0;0;1;0;-25,36122485;-4,26862639;-1,44562448;0,511298368
1;0;1;1;1;2,517804426;13,97437648;0;-14,20248337
1;0;1;0;0;0;-18,9505437;30,60095783;-11,89206792
1;0;0;1;0;-1,06634346;-1,697016533;-2,327676552;0,938277104
1;0;1;0;0;-6,508705533;3,735275381;0;27,03162787
1;0;0;0;1;-4,211155042;10,2920851;7,724883183;4,453071479
1;0;1;1;1;4,343704178;-22,31128032;11,678623;0
1;0;1;1;1;-14,47298879;-2,3809344;8,29555627;0
1;0;1;0;0;5,486206904;2,45734084;-24,03479607;0
1;0;1;1;1;-10,75886169;0;-34,807419;-8,866288437
1;0;1;0;0;19,61170654;0;38,07114735;-17,44364452
1;0;0;1;0;-20,0423397;14,46881496;10,47389584;-1,451055431
1;0;0;1;0;-2,383221097;-4,599370824;-18,49959337;14,0812285
1;0;0;0;1;-7,9785654;-20,94800115;6,75013209;-12,86339866
1;0;1;0;0;17,16315181;0;-17,63961575;-30,95698924
1;0;1;0;0;25,31447528;0;10,32111728;-30,57556395
1;0;0;0;1;-7,256387135;-15,56715742;13,41441151;3,74645032
1;0;1;0;0;0;25,03722474;11,86738767;-26,78622149
1;0;0;1;0;-0,339061058;-4,408624769;15,75152688;20,39093486
1;0;0;1;0;-4,472162463;-21,71415713;-2,643070114;4,350188969
1;0;1;1;1;12,74344944;3,709284138;0;-7,179661648
1;0;1;0;0;0;-12,98439249;4,556994956;-27,99552253
1;0;0;0;1;18,97596194;-18,76581166;20,10258099;-1,375222447
1;0;0;1;0;15,72392703;15,31134176;4,744877841;27,91938179
1;0;0;0;1;18,43377853;16,89361339;19,32337763;8,919999842
1;0;0;0;1;11,85330406;-18,57610261;-33,55185337;-22,68010934
1;0;0;1;0;-7,639302409;1,124141291;18,02761177;15,68813021
