manip,subject,session,order,mm,tm,trialType,iti,fixDur,stimDur,nBlock,nTrial,alpha,present,targType,nItems,resp,acc,rt,confidence,estNItems,estTime,confidenceRT,estNItemsRT,estTimeRT,RecRT,Erreur,REC,Rec2Type,RecRT2,Rec2,couleur,training,task,trialId
vs12,amelie,4,4,09Nov2011,1029,tMix,500,635,8000,1,8,1.72732171254,0,X,16,z,1,752,,,,,,,,,,A,2399,1,Vert,1,X among T,32
vs12,amelie,4,4,09Nov2011,1029,tMix,500,487,8000,1,9,2.89521062695,0,X,4,a,1,1748,,,,,,,,,,A,16856,1,Rouge,1,X among T,33
vs12,amelie,4,4,09Nov2011,1029,tMix,500,700,8000,1,10,4.90549360824,1,X,16,z,1,919,,,,,,,,,,A,5230,2,Vert,1,X among T,34
vs12,amelie,4,4,09Nov2011,1030,tMix,500,435,8000,1,11,3.19829265293,0,X,16,z,1,702,,,,,,,,,,A,3016,1,Vert,1,X among T,35
vs12,amelie,4,4,09Nov2011,1030,tMix,500,440,8000,1,12,5.38043464908,1,L,8,z,1,2168,,,,,,,,,,B,1733,4,Vert,1,L among T,36
vs12,amelie,4,4,09Nov2011,1030,tMix,500,587,8000,1,13,4.08706192498,0,L,16,z,1,2832,,,,,,,,,,B,2883,5,Vert,1,L among T,37
vs12,amelie,4,4,09Nov2011,1030,tMix,500,493,8000,1,14,5.69407675434,1,L,8,z,1,1501,,,,,,,,,,B,2697,4,Vert,1,L among T,38
vs12,amelie,4,4,09Nov2011,1030,tMix,500,501,8000,1,15,1.02618405636,0,L,8,a,1,1167,,,,,,,,,,A,3529,3,Rouge,1,L among T,39
vs12,amelie,4,4,09Nov2011,1030,tMix,500,454,8000,1,16,3.54471542317,1,X,4,a,1,2250,,,,,,,,,,A,2617,2,Rouge,1,X among T,40
vs12,amelie,4,4,09Nov2011,1030,tMix,500,441,8000,1,17,2.15169271932,1,L,4,a,1,1833,,,,,,,,,,A,1235,2,Rouge,1,L among T,41
vs12,amelie,4,4,09Nov2011,1030,tMix,500,658,8000,1,18,5.02021921415,1,L,16,a,1,2997,,,,,,,,,,C,2550,6,Rouge,1,L among T,42
vs12,amelie,4,4,09Nov2011,1030,tMix,500,599,8000,1,19,3.07575012052,0,L,4,a,1,1151,,,,,,,,,,B,1301,4,Rouge,1,L among T,43
vs12,amelie,4,4,09Nov2011,1030,tMix,500,663,8000,1,20,5.49493713441,1,L,16,a,1,3601,,,,,,,,,,D,1350,8,Rouge,1,L among T,44
vs12,amelie,4,4,09Nov2011,1031,tMix,500,419,8000,1,21,0.559284405999,1,L,4,z,1,1129,,,,,,,,,,B,1616,4,Vert,1,L among T,45
vs12,amelie,4,4,09Nov2011,1031,tMix,500,573,8000,1,22,4.03995744157,0,L,4,a,1,1650,,,,,,,,,,A,1583,3,Rouge,1,L among T,46
vs12,amelie,4,4,09Nov2011,1031,tMix,500,429,8000,1,23,0.622155287724,0,L,16,a,0,1085,,,,,,,,,,B,3065,4,Vert,1,L among T,47
vs12,amelie,4,4,09Nov2011,1031,tMix,500,554,8000,1,24,5.01777839321,1,X,16,z,0,1167,,,,,,,,,,B,2633,4,Rouge,1,X among T,48
vs12,amelie,4,4,09Nov2011,1031,mixed,500,552,8000,1,1,1.95329949351,0,L,4,a,1,2663,,,,,,,,,,A,3566,2,Rouge,0,L among T,49
vs12,amelie,4,4,09Nov2011,1032,mixed,500,500,8000,1,2,0.732725633762,1,L,16,a,1,3881,,,,,,,,,,B,1333,5,Rouge,0,L among T,50
vs12,amelie,4,4,09Nov2011,1032,mixed,500,511,8000,1,3,3.66751227801,1,X,4,z,1,1084,,,,,,,,,,A,1049,1,Vert,0,X among T,51
vs12,amelie,4,4,09Nov2011,1032,mixed,500,557,8000,1,4,1.01159228851,0,X,16,z,1,685,,,,,,,,,,A,3015,1,Vert,0,X among T,52
vs12,amelie,4,4,09Nov2011,1032,mixed,500,514,8000,1,5,1.07235280112,1,X,4,a,1,935,,,,,,,,,,A,1184,2,Rouge,0,X among T,53
vs12,amelie,4,4,09Nov2011,1032,mixed,500,653,8000,1,6,4.90876959075,0,L,8,z,1,1701,,,,,,,,,,A,2661,3,Vert,0,L among T,54
vs12,amelie,4,4,09Nov2011,1032,mixed,500,452,8000,1,7,3.42147823496,1,L,16,z,1,1270,,,,,,,,,,A,2999,3,Vert,0,L among T,55
vs12,amelie,4,4,09Nov2011,1032,mixed,500,587,8000,1,8,1.86789731124,1,X,4,a,1,1033,,,,,,,,,,A,1298,2,Rouge,0,X among T,56
vs12,amelie,4,4,09Nov2011,1032,mixed,500,457,8000,1,9,5.93809872963,0,X,16,z,1,786,,,,,,,,,,A,1583,1,Vert,0,X among T,57
vs12,amelie,4,4,09Nov2011,1032,mixed,500,547,8000,1,10,2.72145932192,1,L,16,a,1,2085,,,,,,,,,,A,1513,3,Rouge,0,L among T,58
