trialId,targType,couleur,is_target
1,X,Vert,1
2,X,Rouge,1
3,X,Rouge,1
4,L,Rouge,1
5,L,Vert,1
6,X,Vert,1
7,L,Vert,1
8,X,Vert,1
9,L,Rouge,1
10,X,Rouge,1
11,L,Vert,1
12,X,Rouge,1
13,L,Rouge,1
14,L,Vert,1
15,X,Vert,1
16,X,Vert,1
17,L,Rouge,1
18,X,Vert,1
19,L,Rouge,1
20,L,Vert,1
21,X,Rouge,1
22,L,Vert,1
23,X,Vert,1
24,L,Vert,1
25,X,Rouge,1
26,X,Vert,1
27,X,Rouge,1
28,L,Rouge,1
29,X,Rouge,1
30,X,Vert,1
31,X,Vert,1
32,X,Vert,1
33,X,Rouge,1
34,X,Vert,1
35,X,Vert,1
36,L,Vert,1
37,L,Vert,1
38,L,Vert,1
39,L,Rouge,1
40,X,Rouge,1
41,L,Rouge,1
42,L,Rouge,1
43,L,Rouge,1
44,L,Rouge,1
45,L,Vert,1
46,L,Rouge,1
47,L,Vert,1
48,X,Rouge,1
49,L,Rouge,1
50,L,Rouge,1
51,X,Vert,1
52,X,Vert,1
53,X,Rouge,1
54,L,Vert,1
55,L,Vert,1
56,X,Rouge,1
57,X,Vert,1
58,L,Rouge,1
59,L,Rouge,1
60,X,Rouge,1
61,X,Rouge,1
62,X,Vert,1
63,X,Vert,1
64,L,Vert,1
65,L,Rouge,1
66,L,Rouge,1
67,L,Rouge,1
68,X,Rouge,1
69,X,Vert,1
70,L,Vert,1
71,X,Rouge,1
72,X,Rouge,1
73,L,Rouge,1
74,X,Rouge,1
75,X,Rouge,1
76,L,Rouge,1
77,X,Rouge,1
78,L,Rouge,1
79,X,Vert,1
80,L,Rouge,1
81,L,Rouge,1
82,X,Vert,1
83,X,Rouge,1
84,L,Vert,1
85,X,Rouge,1
86,L,Vert,1
87,L,Vert,1
88,L,Vert,1
89,L,Vert,1
90,X,Rouge,1
91,L,Rouge,1
92,X,Vert,1
93,L,Vert,1
94,L,Rouge,1
95,X,Rouge,1
96,X,Rouge,1
97,X,Vert,1
98,X,Vert,1
99,X,Rouge,1
100,L,Rouge,1
101,X,Rouge,1
102,L,Vert,1
103,X,Vert,1
104,L,Rouge,1
105,L,Vert,1
106,L,Vert,1
107,X,Rouge,1
108,L,Rouge,1
109,X,Rouge,1
110,L,Rouge,1
111,X,Rouge,1
112,L,Vert,1
113,L,Vert,1
114,X,Rouge,1
115,L,Rouge,1
116,L,Rouge,1
117,L,Vert,1
118,X,Rouge,1
119,L,Rouge,1
120,X,Vert,1
121,X,Rouge,1
122,L,Vert,1
123,L,Rouge,1
124,L,Vert,1
125,X,Rouge,1
126,L,Vert,1
127,X,Rouge,1
128,X,Rouge,1
129,L,Vert,1
130,L,Rouge,1
131,X,Vert,1
132,L,Rouge,1
133,L,Vert,1
134,L,Rouge,1
135,X,Rouge,1
136,L,Rouge,1
137,L,Vert,1
138,X,Vert,1
139,L,Rouge,1
140,X,Vert,1
141,X,Rouge,1
142,X,Rouge,1
143,L,Vert,1
144,L,Rouge,1
145,L,Rouge,1
146,X,Rouge,1
147,X,Vert,1
148,L,Rouge,1
149,X,Vert,1
150,X,Vert,1
151,L,Rouge,1
152,X,Vert,1
153,X,Vert,1
154,L,Vert,1
155,L,Rouge,1
