manip;subject;session;order;mm;tm;trialType;iti;fixDur;stimDur;nBlock;nTrial;alpha;present;targType;nItems;resp;acc;rt;confidence;estNItems;estTime;confidenceRT;estNItemsRT;estTimeRT;RecRT;Erreur;PostTest;Rec2Type;RecRT2;Rec2;couleur;Prime;CordCible;CordPrime;Yes/No;AV/AP;Diff;PostTest;DiffTime;RECORDING_SESSION_LABEL;AVERAGE_FIXATION_DURATION;AVERAGE_SACCADE_AMPLITUDE;BUTTON_PRESS_COUNT;DURATION;FIXATION_COUNT;SACCADE_COUNT
vs12;hugo;4;2;17-janv-13;1454;Ent1;500;400;2000;1;1;3.79721770073;False;L;4;a;1;340;None;None;None;None;None;None;None;None;None;None;None;None;Rouge;0;3;0;0;None;None;0;1758;HUGO;222.14;5.78;2;1894;7;6
vs12;hugo;4;2;17-janv-13;1454;Ent1;500;400;2000;1;2;0.518255832522;False;X;4;N;0;1500;None;None;None;None;None;None;None;None;None;None;None;None;Rouge;0;4;0;0;None;None;0;784;HUGO;203.5;5.83;2;920;4;3
vs12;hugo;4;2;17-janv-13;1454;Ent1;500;400;2000;1;3;2.03017224423;True;L;8;N;0;1500;None;None;None;None;None;None;None;None;None;None;None;None;Rouge;0;7;0;0;None;None;0;0;HUGO;182.18;6.91;2;3149;11;10
vs12;hugo;4;2;17-janv-13;1454;Ent1;500;400;2000;1;4;2.44388932911;True;L;4;a;1;642;None;None;None;None;None;None;None;None;None;None;None;None;Rouge;0;1;0;0;None;None;0;1358;HUGO;174.57;7.73;2;1492;7;6
vs12;hugo;4;2;17-janv-13;1454;Ent1;500;400;2000;1;5;2.30189103224;False;X;8;a;1;736;None;None;None;None;None;None;None;None;None;None;None;None;Rouge;0;7;0;0;None;None;0;1308;HUGO;173.14;6.53;2;1444;7;6
vs12;hugo;4;2;17-janv-13;1454;Ent1;500;400;2000;1;6;3.18943221214;True;L;16;a;1;655;None;None;None;None;None;None;None;None;None;None;None;None;Rouge;0;15;0;0;None;None;0;868;HUGO;173.8;3.48;2;1002;5;4
vs12;hugo;4;2;17-janv-13;1454;Ent1;500;400;2000;1;7;4.15596475355;False;X;16;z;1;347;None;None;None;None;None;None;None;None;None;None;None;None;Vert;0;15;0;0;None;None;0;1440;HUGO;82.33;13.67;2;1574;3;2
vs12;hugo;4;2;17-janv-13;1454;Ent1;500;400;2000;1;8;5.33182196658;False;L;8;z;1;452;None;None;None;None;None;None;None;None;None;None;None;None;Vert;0;8;0;0;None;None;0;994;HUGO;185.6;0;2;1133;5;5
vs12;hugo;4;2;17-janv-13;1454;Ent1;500;400;2000;1;9;3.15460290398;True;X;8;z;1;314;None;None;None;None;None;None;None;None;None;None;None;None;Vert;0;4;0;0;None;None;0;1539;HUGO;163;6.27;2;1673;8;8
vs12;hugo;4;2;17-janv-13;1454;Ent1;500;400;2000;1;10;0.0102878127692;True;X;4;z;1;294;None;None;None;None;None;None;None;None;None;None;None;None;Vert;0;2;0;0;None;None;0;1249;HUGO;281;2.41;2;1383;4;3
