manip subject session order mm tm trialType iti fixDur stimDur nBlock nTrial alpha present targType nItems resp acc rt confidence estNItems estTime confidenceRT estNItemsRT estTimeRT
vs12 benlakhal 1 0 13Dec2010 1345 tSerial 500 514 200 1 15 2.10090616002 False L 2 z 0 499 10 0.598 336 4167 2651 5766
vs12 benlakhal 1 0 13Dec2010 1345 tSerial 500 457 200 1 16 4.06623988281 True L 8 z 1 385 2 3 462 5707 4367 1894
vs12 benlakhal 1 0 13Dec2010 1347 serial 500 532 200 1 1 5.23681737139 True L 4 a 0 586 0 2 355 7283 5498 8356
vs12 benlakhal 1 0 13Dec2010 1347 serial 500 695 200 1 2 2.77723560233 True L 8 z 1 414 5 3 398 5837 17151 18480
vs12 benlakhal 1 0 13Dec2010 1348 serial 500 636 200 1 3 1.8341953758 False L 4 z 0 370 4 2 457 2351 3595 5168
vs12 benlakhal 1 0 13Dec2010 1348 serial 500 624 200 1 4 2.7585234677 True L 4 z 1 356 1 1 401 3121 1948 4808
vs12 benlakhal 1 0 13Dec2010 1348 serial 500 562 200 1 5 4.70023507993 False L 12 z 0 428 1 2 348 3533 2347 4506
vs12 benlakhal 1 0 13Dec2010 1348 serial 500 616 200 1 6 3.30682679267 True L 8 z 1 471 8 0 328 4824 3610 8085
vs12 benlakhal 1 0 13Dec2010 1348 serial 500 626 200 1 7 6.04289246395 True L 2 z 1 500 9 1 326 6077 4389 7421
vs12 benlakhal 1 0 13Dec2010 1348 serial 500 424 200 1 8 5.91267989858 True L 12 z 1 442 9 2 355 5510 3651 6997
vs12 benlakhal 1 0 13Dec2010 1348 serial 500 483 200 1 9 4.35011486176 True L 12 z 1 399 8 1 317 2876 1203 3920
vs12 benlakhal 1 0 13Dec2010 1348 serial 500 624 200 1 10 2.81972428576 False L 4 z 0 442 2 1 367 3348 2193 4550
vs12 benlakhal 1 0 13Dec2010 1349 serial 500 678 200 1 11 5.99592761596 True L 12 z 1 484 9 1 361 4449 2996 8597
vs12 benlakhal 1 0 13Dec2010 1349 serial 500 692 200 1 12 3.13208552634 True L 2 z 1 428 9 2 405 5367 2107 6568
vs12 benlakhal 1 0 13Dec2010 1349 serial 500 532 200 1 13 5.36999476085 False L 12 z 0 371 5 2 341 12230 3821 14934
vs12 benlakhal 1 0 13Dec2010 1349 serial 500 430 200 1 14 5.91973887199 True L 4 a 0 399 9 1 377 3749 2777 4892
vs12 benlakhal 1 0 13Dec2010 1349 serial 500 472 200 1 15 4.4147575576 False L 8 z 0 400 1 3 372 3877 2692 5136
vs12 benlakhal 1 0 13Dec2010 1349 serial 500 664 200 1 16 3.5618530458 False L 8 z 0 413 8 2 346 5737 2651 7239
vs12 benlakhal 1 0 13Dec2010 1350 serial 500 465 200 1 17 4.21952705691 False L 4 z 0 427 9 2 392 7353 9226 10397
vs12 benlakhal 1 0 13Dec2010 1350 serial 500 677 200 1 18 5.91124063944 False L 4 z 0 757 9 1 370 2238 3009 4368
vs12 benlakhal 1 0 13Dec2010 1350 serial 500 523 200 1 19 4.15353510643 False L 12 z 0 653 2 2 415 3910 2866 4897
vs12 benlakhal 1 0 13Dec2010 1350 serial 500 619 200 1 20 2.58609620657 True L 4 z 1 514 9 1 393 4952 3079 7255
vs12 benlakhal 1 0 13Dec2010 1350 serial 500 498 200 1 21 4.76227426407 False L 12 z 0 426 9 4 356 6056 1794 7214
vs12 benlakhal 1 0 13Dec2010 1350 serial 500 546 200 1 22 0.189360803718 False L 8 z 0 657 9 2 390 4954 2609 5941
vs12 benlakhal 1 0 13Dec2010 1350 serial 500 624 200 1 23 3.99763076111 True L 4 z 1 384 8 2 416 2536 1363 5368
vs12 benlakhal 1 0 13Dec2010 1350 serial 500 568 200 1 24 4.96021372233 False L 2 z 0 522 9 2 317 2951 1950 4081
vs12 benlakhal 1 0 13Dec2010 1351 serial 500 629 200 1 25 5.18793501376 True L 8 z 1 486 8 3 418 3120 1336 4378
vs12 benlakhal 1 0 13Dec2010 1351 serial 500 661 200 1 26 2.70502705656 True L 2 z 1 513 9 1 357 3008 1736 4165
vs12 benlakhal 1 0 13Dec2010 1351 serial 500 496 200 1 27 3.21514456694 True L 12 z 1 357 9 4 385 9227 4355 6825
vs12 benlakhal 1 0 13Dec2010 1351 serial 500 599 200 1 28 5.1691338611 False L 8 z 0 456 9 3 387 2836 1507 4250
vs12 benlakhal 1 0 13Dec2010 1351 serial 500 401 200 1 29 0.968129033952 False L 2 z 0 499 6 1 317 4196 3152 17824
vs12 benlakhal 1 0 13Dec2010 1351 serial 500 585 200 1 30 1.29336114531 True L 8 z 1 357 9 2 423 2730 1816 3860
vs12 benlakhal 1 0 13Dec2010 1351 serial 500 405 200 1 31 3.15504378392 False L 12 z 0 499 8 4 348 2536 1478 4092
vs12 benlakhal 1 0 13Dec2010 1352 serial 500 457 200 1 32 3.28340371717 True L 12 z 1 414 9 5 336 5900 7784 8840
vs12 benlakhal 1 0 13Dec2010 1352 serial 500 642 200 1 33 3.69829660975 True L 2 z 1 428 9 2 282 2779 1964 3678
vs12 benlakhal 1 0 13Dec2010 1352 serial 500 556 200 1 34 4.95456687555 False L 2 z 0 527 4 2 356 3252 2352 4553
vs12 benlakhal 1 0 13Dec2010 1352 serial 500 597 200 1 35 3.79668300043 False L 2 z 0 483 1 1 293 14424 2894 15634
vs12 benlakhal 1 0 13Dec2010 1352 serial 500 425 200 1 36 0.0875537068033 True L 2 a 0 400 4 2 341 4482 1864 5811
vs12 benlakhal 1 0 13Dec2010 1352 serial 500 630 200 1 37 5.9718759676 False L 2 z 0 399 7 1 326 8885 13562 15033
vs12 benlakhal 1 0 13Dec2010 1353 serial 500 613 200 1 38 0.926892548695 False L 4 a 1 442 0 1 291 15794 12620 16881
vs12 benlakhal 1 0 13Dec2010 1353 serial 500 572 200 1 39 0.842314015299 False L 8 z 0 399 1 4 336 3705 2709 4420
vs12 benlakhal 1 0 13Dec2010 1353 serial 500 602 200 1 40 0.0581979570884 True L 8 z 1 413 9 2 367 5897 2452 6926
vs12 benlakhal 1 0 13Dec2010 1354 serial 500 541 200 2 1 4.51134361542 True L 8 a 0 442 0 2 333 4135 3134 5351
vs12 benlakhal 1 0 13Dec2010 1354 serial 500 677 200 2 2 3.62891126336 False L 4 z 0 428 1 2 360 5606 4633 6663
vs12 benlakhal 1 0 13Dec2010 1354 serial 500 561 200 2 3 1.86136500289 False L 2 z 0 484 8 1 333 6926 6398 8242
vs12 benlakhal 1 0 13Dec2010 1354 serial 500 659 200 2 4 0.795441265671 False L 8 z 0 456 4 3 321 3637 2508 5368
vs12 benlakhal 1 0 13Dec2010 1355 serial 500 671 200 2 5 1.53576518936 False L 4 z 0 529 2 2 332 6557 5599 7897
vs12 benlakhal 1 0 13Dec2010 1355 serial 500 649 200 2 6 5.02149032943 True L 4 a 0 456 1 2 326 12432 6367 14460
vs12 benlakhal 1 0 13Dec2010 1355 serial 500 632 200 2 7 1.53043366786 True L 2 z 1 428 9 1 363 3224 2051 17409
vs12 benlakhal 1 0 13Dec2010 1355 serial 500 440 200 2 8 1.84336056695 True L 2 z 1 399 9 1 348 2506 1679 4222
vs12 benlakhal 1 0 13Dec2010 1355 serial 500 537 200 2 9 5.14698036475 False L 2 z 0 427 9 2 342 2722 2036 5981
vs12 benlakhal 1 0 13Dec2010 1355 serial 500 501 200 2 10 0.245860528616 True L 4 a 0 427 9 3 402 2994 2193 5379
vs12 benlakhal 1 0 13Dec2010 1356 serial 500 600 200 2 11 5.22177750768 False L 12 z 0 484 8 2 365 3980 2795 5049
vs12 benlakhal 1 0 13Dec2010 1356 serial 500 547 200 2 12 3.59376364976 True L 4 z 1 456 9 2 393 3638 2352 7910
vs12 benlakhal 1 0 13Dec2010 1356 serial 500 474 200 2 13 3.21235336718 False L 4 z 0 456 9 2 396 5110 4211 6153
vs12 benlakhal 1 0 13Dec2010 1356 serial 500 562 200 2 14 2.04098386828 True L 2 z 1 499 9 2 377 3194 2565 5977
vs12 benlakhal 1 0 13Dec2010 1356 serial 500 587 200 2 15 4.55575817093 True L 8 z 1 413 9 3 412 2794 1937 3853
vs12 benlakhal 1 0 13Dec2010 1356 serial 500 477 200 2 16 2.50720784665 False L 12 a 1 454 9 3 398 3137 2180 4066
vs12 benlakhal 1 0 13Dec2010 1356 serial 500 437 200 2 17 3.66959769996 True L 4 z 1 428 9 3 383 2728 2013 3714
vs12 benlakhal 1 0 13Dec2010 1356 serial 500 506 200 2 18 5.7961246801 False L 12 z 0 384 9 3 333 2350 1336 3480
vs12 benlakhal 1 0 13Dec2010 1356 serial 500 609 200 2 19 5.17424681075 False L 2 z 0 496 9 1 393 2764 1821 4037
vs12 benlakhal 1 0 13Dec2010 1357 serial 500 611 200 2 20 4.64822115907 True L 12 z 1 413 7 3 376 3146 1816 5506
vs12 benlakhal 1 0 13Dec2010 1357 serial 500 589 200 2 21 0.428302436389 False L 4 z 0 399 8 3 363 4078 2634 5537
vs12 benlakhal 1 0 13Dec2010 1357 serial 500 694 200 2 22 5.73736764687 False L 4 z 0 485 4 1 322 3593 5467 7326
vs12 benlakhal 1 0 13Dec2010 1357 serial 500 403 200 2 23 5.18039534762 False L 8 z 0 499 8 3 386 5839 4595 7426
vs12 benlakhal 1 0 13Dec2010 1357 serial 500 621 200 2 24 3.69114194585 True L 8 a 0 356 1 3 357 4706 2561 7051
vs12 benlakhal 1 0 13Dec2010 1357 serial 500 653 200 2 25 1.5586558458 False L 2 z 0 428 1 2 312 11556 2464 8697
vs12 benlakhal 1 0 13Dec2010 1357 serial 500 488 200 2 26 3.93563749769 False L 8 z 0 443 8 3 356 5525 3094 9230
vs12 benlakhal 1 0 13Dec2010 1358 serial 500 662 200 2 27 5.83841349746 False L 2 a 1 540 9 2 355 3050 1921 4037
vs12 benlakhal 1 0 13Dec2010 1358 serial 500 465 200 2 28 4.85499260252 True L 12 a 0 457 9 3 318 6023 1832 9112
vs12 benlakhal 1 0 13Dec2010 1358 serial 500 595 200 2 29 2.64573027329 True L 2 a 0 742 4 1 286 11600 9197 12601
vs12 benlakhal 1 0 13Dec2010 1358 serial 500 664 200 2 30 3.76910208979 False L 12 z 0 496 7 2 336 3451 1707 9013
vs12 benlakhal 1 0 13Dec2010 1359 serial 500 577 200 2 31 2.75704622114 True L 2 z 1 771 1 1 338 18824 4881 19754
vs12 benlakhal 1 0 13Dec2010 1359 serial 500 426 200 2 32 1.77038894711 True L 12 z 1 399 1 3 327 6027 1436 7426
vs12 benlakhal 1 0 13Dec2010 1359 serial 500 578 200 2 33 2.65555869068 True L 8 z 1 370 7 1 317 3381 1336 4481
vs12 benlakhal 1 0 13Dec2010 1359 serial 500 525 200 2 34 0.558224660058 False L 8 z 0 426 8 2 406 3051 1865 4581
vs12 benlakhal 1 0 13Dec2010 1359 serial 500 550 200 2 35 4.29319497325 True L 12 z 1 385 8 0 333 3818 3005 5206
vs12 benlakhal 1 0 13Dec2010 1359 serial 500 495 200 2 36 1.05501573838 False L 8 z 0 513 9 2 361 5266 1979 9172
vs12 benlakhal 1 0 13Dec2010 1359 serial 500 690 200 2 37 5.1739146702 False L 12 z 0 540 8 1 342 1922 1050 2980
vs12 benlakhal 1 0 13Dec2010 1359 serial 500 507 200 2 38 3.25491871537 True L 8 z 1 399 8 1 345 2350 1578 3389
vs12 benlakhal 1 0 13Dec2010 1359 serial 500 599 200 2 39 2.07643413246 True L 12 z 1 571 5 3 308 2923 2052 4067
vs12 benlakhal 1 0 13Dec2010 1400 serial 500 533 200 2 40 1.41374952648 True L 4 z 1 370 8 1 435 2478 1663 3965
vs12 benlakhal 1 0 13Dec2010 1400 serial 500 469 200 3 1 2.26764104107 False L 2 a 1 457 9 1 315 6082 4738 7240
vs12 benlakhal 1 0 13Dec2010 1401 serial 500 492 200 3 2 3.01254303427 True L 2 a 0 427 2 1 325 3033 1563 4678
vs12 benlakhal 1 0 13Dec2010 1401 serial 500 446 200 3 3 2.2443125574 False L 12 a 1 341 9 1 381 2751 1966 3565
vs12 benlakhal 1 0 13Dec2010 1401 serial 500 506 200 3 4 2.32832927575 False L 12 a 1 542 9 1 348 6026 5184 6999
vs12 benlakhal 1 0 13Dec2010 1401 serial 500 577 200 3 5 6.23501572321 True L 2 z 1 427 10 1 331 2379 1678 5325
vs12 benlakhal 1 0 13Dec2010 1401 serial 500 689 200 3 6 0.933848902598 True L 12 z 1 527 9 2 332 8328 6987 15458
vs12 benlakhal 1 0 13Dec2010 1401 serial 500 658 200 3 7 1.32436225296 False L 8 z 0 443 8 2 376 3366 1808 6983
vs12 benlakhal 1 0 13Dec2010 1401 serial 500 657 200 3 8 5.98906987705 False L 4 z 0 342 6 2 338 2550 1264 6882
vs12 benlakhal 1 0 13Dec2010 1402 serial 500 531 200 3 9 1.65962092058 False L 8 z 0 342 8 1 397 2079 1021 3237
vs12 benlakhal 1 0 13Dec2010 1402 serial 500 532 200 3 10 3.28332112026 False L 2 z 0 425 9 1 308 16393 15339 18382
vs12 benlakhal 1 0 13Dec2010 1402 serial 500 557 200 3 11 0.470556529026 True L 8 z 1 671 9 5 418 1593 4361 10211
vs12 benlakhal 1 0 13Dec2010 1402 serial 500 575 200 3 12 1.02471866989 False L 12 z 0 1129 4 1 351 7470 8542 9957
vs12 benlakhal 1 0 13Dec2010 1403 serial 500 584 200 3 13 2.06575300255 True L 8 z 1 355 1 2 376 13429 1565 9915
vs12 benlakhal 1 0 13Dec2010 1403 serial 500 604 200 3 14 2.60298012044 True L 8 z 1 499 9 2 355 2880 1794 5794
