manip;subject;session;order;mm;tm;trialType;iti;fixDur;stimDur;nBlock;nTrial;alpha;present;targType;nItems;resp;acc;rt;confidence;estNItems;estTime;confidenceRT;estNItemsRT;estTimeRT;RecRT;Erreur;PostTest;Rec2Type;RecRT2;Rec2;couleur;Prime;CordCible;CordPrime;Yes/No;AV/AP;Diff;PostTest;RECORDING_SESSION_LABEL;AVERAGE_FIXATION_DURATION;AVERAGE_SACCADE_AMPLITUDE;BLINK_COUNT;BUTTON_PRESS_COUNT;FIXATION_COUNT;IP_DURATION;SACCADE_COUNT;;
vs12;am;4;2;08Feb2013;1045;mixed;500;400;2000;5;1;5.64685038668;True;L;4;z;1;484;None;None;None;None;None;None;None;None;None;A;2073;1;Vert;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1024;Ent2;500;400;2000;1;2;5.42844577532;False;L;8;z;1;1416;None;None;None;None;None;None;None;None;None;A;3269;2;Vert;0;8;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1029;mixed;500;400;2000;1;21;0.0763736429294;False;L;4;z;1;375;None;None;None;None;None;None;None;None;None;A;1050;1;Vert;0;1;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1052;mixed;500;400;2000;6;26;0.462926198285;True;L;4;a;1;399;None;None;None;None;None;None;None;None;None;A;2595;3;Rouge;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1051;mixed;500;400;2000;6;11;3.0556958262;False;X;16;a;1;356;None;None;None;None;None;None;None;None;None;A;3837;3;Rouge;0;15;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1043;mixed;500;400;2000;4;31;0.156098690631;True;L;8;a;1;363;None;None;None;None;None;None;None;None;None;B;1252;4;Rouge;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1057;mixed;500;400;2000;7;27;2.40212088248;False;X;4;a;1;343;None;None;None;None;None;None;None;None;None;A;677;1;Rouge;0;4;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1033;mixed;500;400;2000;2;12;1.32415304874;True;L;4;a;1;347;None;None;None;None;None;None;None;None;None;A;3076;3;Rouge;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1057;mixed;500;400;2000;7;31;4.77101899222;False;L;16;a;1;807;None;None;None;None;None;None;None;None;None;A;1144;1;Rouge;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1030;mixed;500;400;2000;1;26;3.96766819424;False;X;4;z;1;366;None;None;None;None;None;None;None;None;None;A;1417;1;Vert;0;3;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1055;mixed;500;400;2000;7;4;5.21242662573;False;X;8;z;1;343;None;None;None;None;None;None;None;None;None;B;2258;4;Vert;0;4;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1047;mixed;500;400;2000;5;31;4.74611727121;False;X;4;a;1;345;None;None;None;None;None;None;None;None;None;B;2081;4;Rouge;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1015;Ent1;500;400;2000;1;5;0.375769674935;True;L;8;a;1;878;None;None;None;None;None;None;None;None;None;None;None;None;Rouge;0;5;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1043;mixed;500;400;2000;4;23;0.894757352388;True;X;4;a;1;620;None;None;None;None;None;None;None;None;None;A;980;1;Rouge;0;4;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1043;mixed;500;400;2000;4;20;3.47159115447;True;X;4;a;1;455;None;None;None;None;None;None;None;None;None;A;797;1;Rouge;0;4;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1050;mixed;500;400;2000;6;2;5.33827969841;True;X;8;z;1;356;None;None;None;None;None;None;None;None;None;A;1610;1;Vert;0;3;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1053;mixed;500;400;2000;6;35;4.79400164698;True;X;4;a;1;281;None;None;None;None;None;None;None;None;None;A;882;3;Rouge;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1038;mixed;500;400;2000;3;20;3.83107507771;False;X;4;z;1;392;None;None;None;None;None;None;None;None;None;A;1009;1;Vert;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
