trialId,targType,couleur,is_target
1,L,Rouge,1
2,X,Rouge,1
3,L,Rouge,1
4,L,Rouge,1
5,X,Rouge,1
6,L,Rouge,1
7,X,Vert,1
8,L,Vert,1
9,X,Vert,1
10,X,Vert,1
11,X,Rouge,1
12,L,Rouge,1
13,L,Rouge,1
14,X,Rouge,1
15,L,Rouge,1
16,L,Rouge,1
17,X,Rouge,1
18,L,Rouge,1
19,X,Rouge,1
20,L,Rouge,1
21,X,Vert,1
22,X,Vert,1
23,X,Rouge,1
24,L,Rouge,1
25,L,Rouge,1
26,X,Rouge,1
27,L,Vert,1
28,L,Vert,1
29,X,Rouge,1
30,L,Vert,1
31,X,Vert,1
32,L,Rouge,1
33,X,Vert,1
34,X,Vert,1
35,X,Rouge,1
36,L,Vert,1
37,L,Vert,1
38,L,Vert,1
39,X,Vert,1
40,L,Rouge,1
41,X,Vert,1
42,L,Vert,1
43,X,Vert,1
44,L,Rouge,1
45,X,Rouge,1
46,L,Vert,1
47,X,Vert,1
48,X,Vert,1
49,X,Rouge,1
50,L,Rouge,1
51,L,Vert,1
52,X,Vert,1
53,L,Vert,1
54,L,Vert,1
55,X,Rouge,1
56,L,Rouge,1
57,X,Rouge,1
58,X,Rouge,1
59,X,Rouge,1
60,L,Vert,1
61,L,Rouge,1
62,L,Vert,1
63,X,Vert,1
64,X,Vert,1
65,L,Rouge,1
66,L,Rouge,1
67,L,Rouge,1
68,L,Rouge,1
69,X,Vert,1
70,X,Rouge,1
71,L,Vert,1
72,X,Vert,1
73,L,Vert,1
74,L,Vert,1
75,X,Vert,1
76,X,Rouge,1
77,X,Vert,1
78,X,Vert,1
79,X,Vert,1
80,X,Rouge,1
81,X,Rouge,1
82,L,Vert,1
83,L,Rouge,1
84,L,Rouge,1
85,X,Rouge,1
86,L,Vert,1
87,L,Vert,1
88,L,Rouge,1
89,X,Vert,1
90,X,Rouge,1
91,L,Vert,1
92,X,Vert,1
93,X,Rouge,1
94,L,Rouge,1
95,L,Vert,1
96,L,Rouge,1
97,X,Vert,1
98,L,Rouge,1
99,L,Vert,1
100,L,Rouge,1
101,X,Rouge,1
102,L,Rouge,1
103,X,Vert,1
104,L,Rouge,1
105,X,Rouge,1
106,X,Vert,1
107,X,Vert,1
108,X,Vert,1
109,X,Rouge,1
110,L,Rouge,1
111,L,Rouge,1
112,X,Rouge,1
113,X,Vert,1
114,X,Vert,1
115,L,Rouge,1
116,L,Vert,1
117,X,Rouge,1
118,X,Rouge,1
119,L,Rouge,1
120,L,Vert,1
121,X,Rouge,1
122,L,Rouge,1
123,X,Vert,1
124,L,Vert,1
125,X,Rouge,1
126,X,Vert,1
127,X,Vert,1
128,L,Vert,1
129,L,Rouge,1
130,L,Rouge,1
131,X,Vert,1
132,L,Rouge,1
133,X,Rouge,1
134,L,Rouge,1
135,X,Rouge,1
136,X,Vert,1
137,L,Vert,1
138,L,Rouge,1
139,X,Vert,1
140,X,Rouge,1
141,X,Rouge,1
142,L,Rouge,1
143,X,Rouge,1
144,L,Vert,1
145,L,Vert,1
146,X,Vert,1
147,L,Vert,1
148,X,Rouge,1
149,L,Vert,1
150,L,Rouge,1
151,L,Vert,1
152,L,Rouge,1
153,X,Vert,1
154,X,Vert,1
155,X,Vert,1
156,L,Vert,1
157,L,Rouge,1
158,L,Vert,1
159,L,Rouge,1
160,X,Vert,1
161,L,Rouge,1
162,L,Vert,1
163,X,Rouge,1
164,X,Vert,1
165,L,Rouge,1
166,X,Rouge,1
167,X,Vert,1
168,X,Vert,1
169,X,Vert,1
170,L,Vert,1
171,L,Rouge,1
172,L,Rouge,1
173,X,Vert,1
174,L,Vert,1
175,L,Rouge,1
176,X,Vert,1
177,X,Vert,1
178,X,Vert,1
179,L,Rouge,1
180,X,Rouge,1
181,L,Rouge,1
182,X,Vert,1
183,X,Vert,1
184,L,Vert,1
185,L,Vert,1
186,X,Rouge,1
187,L,Rouge,1
188,L,Vert,1
189,X,Rouge,1
190,L,Rouge,1
191,X,Rouge,1
192,X,Rouge,1
193,X,Vert,1
194,L,Vert,1
195,L,Vert,1
196,X,Vert,1
197,L,Vert,1
198,L,Vert,1
199,X,Rouge,1
200,L,Vert,1
201,L,Vert,1
202,L,Vert,1
203,X,Rouge,1
204,X,Rouge,1
205,X,Rouge,1
206,L,Vert,1
207,L,Vert,1
208,X,Rouge,1
209,X,Vert,1
210,X,Rouge,1
211,L,Vert,1
212,X,Rouge,1
213,X,Vert,1
214,L,Vert,1
215,X,Rouge,1
216,X,Rouge,1
217,L,Vert,1
218,X,Vert,1
219,X,Rouge,1
220,L,Rouge,1
221,L,Rouge,1
222,L,Rouge,1
223,L,Vert,1
224,L,Rouge,1
225,L,Rouge,1
226,X,Rouge,1
