manip;subject;session;order;mm;tm;trialType;iti;fixDur;stimDur;nBlock;nTrial;alpha;present;targType;nItems;resp;acc;rt;confidence;estNItems;estTime;confidenceRT;estNItemsRT;estTimeRT
vs12;benlakhal;1;0;13Dec2010;1343;tSerial;500;468;200;1;7;3.434647739;True;L;8;a;0;726;1;4.208;542;3009;4138;5182
vs12;benlakhal;1;0;13Dec2010;1343;tSerial;500;647;200;1;8;6.16538117;True;L;2;a;0;442;9;0.484;387;12521;4526;14180
vs12;benlakhal;1;0;13Dec2010;1344;tSerial;500;541;200;1;9;5.304071993;True;L;2;z;1;499;9;0.598;358;4211;8685;9800
vs12;benlakhal;1;0;13Dec2010;1344;tSerial;500;591;200;1;10;5.326280982;False;L;12;z;0;413;1;2.556;461;7112;5926;8656
vs12;benlakhal;1;0;13Dec2010;1344;tSerial;500;494;200;1;11;0.799560513;True;L;4;z;1;399;3;0.796;350;9858;4940;13792
vs12;benlakhal;1;0;13Dec2010;1344;tSerial;500;547;200;1;12;3.753243625;True;L;12;z;1;384;2;2.208;425;6296;4053;7267
vs12;benlakhal;1;0;13Dec2010;1344;tSerial;500;544;200;1;13;3.406092797;True;L;4;z;1;399;1;0.796;362;3659;2379;6248
vs12;benlakhal;1;0;13Dec2010;1345;tSerial;500;485;200;1;14;2.09116631;False;L;4;z;0;342;6;0.568;391;2906;2079;10770
vs12;benlakhal;1;0;13Dec2010;1345;tSerial;500;514;200;1;15;2.10090616;False;L;2;z;0;499;10;0.598;336;4167;2651;5766
vs12;benlakhal;1;0;13Dec2010;1345;tSerial;500;457;200;1;16;4.066239883;True;L;8;z;1;385;2;3;462;5707;4367;1894
vs12;benlakhal;1;0;13Dec2010;1347;serial;500;532;200;1;1;5.236817371;True;L;4;a;0;586;0;2;355;7283;5498;8356
vs12;benlakhal;1;0;13Dec2010;1347;serial;500;695;200;1;2;2.777235602;True;L;8;z;1;414;5;3;398;5837;17151;18480
vs12;benlakhal;1;0;13Dec2010;1348;serial;500;636;200;1;3;1.834195376;False;L;4;z;0;370;4;2;457;2351;3595;5168
vs12;benlakhal;1;0;13Dec2010;1348;serial;500;624;200;1;4;2.758523468;True;L;4;z;1;356;1;1;401;3121;1948;4808
vs12;benlakhal;1;0;13Dec2010;1348;serial;500;562;200;1;5;4.70023508;False;L;12;z;0;428;1;2;348;3533;2347;4506
vs12;benlakhal;1;0;13Dec2010;1348;serial;500;616;200;1;6;3.306826793;True;L;8;z;1;471;8;0;328;4824;3610;8085
vs12;benlakhal;1;0;13Dec2010;1348;serial;500;626;200;1;7;6.042892464;True;L;2;z;1;500;9;1;326;6077;4389;7421
vs12;benlakhal;1;0;13Dec2010;1348;serial;500;424;200;1;8;5.912679899;True;L;12;z;1;442;9;2;355;5510;3651;6997
vs12;benlakhal;1;0;13Dec2010;1348;serial;500;483;200;1;9;4.350114862;True;L;12;z;1;399;8;1;317;2876;1203;3920
vs12;benlakhal;1;0;13Dec2010;1348;serial;500;624;200;1;10;2.819724286;False;L;4;z;0;442;2;1;367;3348;2193;4550
vs12;benlakhal;1;0;13Dec2010;1349;serial;500;678;200;1;11;5.995927616;True;L;12;z;1;484;9;1;361;4449;2996;8597
vs12;benlakhal;1;0;13Dec2010;1349;serial;500;692;200;1;12;3.132085526;True;L;2;z;1;428;9;2;405;5367;2107;6568
vs12;benlakhal;1;0;13Dec2010;1349;serial;500;532;200;1;13;5.369994761;False;L;12;z;0;371;5;2;341;12230;3821;14934
vs12;benlakhal;1;0;13Dec2010;1349;serial;500;430;200;1;14;5.919738872;True;L;4;a;0;399;9;1;377;3749;2777;4892
vs12;benlakhal;1;0;13Dec2010;1349;serial;500;472;200;1;15;4.414757558;False;L;8;z;0;400;1;3;372;3877;2692;5136
vs12;benlakhal;1;0;13Dec2010;1349;serial;500;664;200;1;16;3.561853046;False;L;8;z;0;413;8;2;346;5737;2651;7239
vs12;benlakhal;1;0;13Dec2010;1350;serial;500;465;200;1;17;4.219527057;False;L;4;z;0;427;9;2;392;7353;9226;10397
vs12;benlakhal;1;0;13Dec2010;1350;serial;500;677;200;1;18;5.911240639;False;L;4;z;0;757;9;1;370;2238;3009;4368
vs12;benlakhal;1;0;13Dec2010;1350;serial;500;523;200;1;19;4.153535106;False;L;12;z;0;653;2;2;415;3910;2866;4897
vs12;benlakhal;1;0;13Dec2010;1350;serial;500;619;200;1;20;2.586096207;True;L;4;z;1;514;9;1;393;4952;3079;7255
vs12;benlakhal;1;0;13Dec2010;1350;serial;500;498;200;1;21;4.762274264;False;L;12;z;0;426;9;4;356;6056;1794;7214
vs12;benlakhal;1;0;13Dec2010;1350;serial;500;546;200;1;22;0.189360804;False;L;8;z;0;657;9;2;390;4954;2609;5941
vs12;benlakhal;1;0;13Dec2010;1350;serial;500;624;200;1;23;3.997630761;True;L;4;z;1;384;8;2;416;2536;1363;5368
vs12;benlakhal;1;0;13Dec2010;1350;serial;500;568;200;1;24;4.960213722;False;L;2;z;0;522;9;2;317;2951;1950;4081
vs12;benlakhal;1;0;13Dec2010;1351;serial;500;629;200;1;25;5.187935014;True;L;8;z;1;486;8;3;418;3120;1336;4378
vs12;benlakhal;1;0;13Dec2010;1351;serial;500;661;200;1;26;2.705027057;True;L;2;z;1;513;9;1;357;3008;1736;4165
vs12;benlakhal;1;0;13Dec2010;1351;serial;500;496;200;1;27;3.215144567;True;L;12;z;1;357;9;4;385;9227;4355;6825
vs12;benlakhal;1;0;13Dec2010;1351;serial;500;599;200;1;28;5.169133861;False;L;8;z;0;456;9;3;387;2836;1507;4250
vs12;benlakhal;1;0;13Dec2010;1351;serial;500;401;200;1;29;0.968129034;False;L;2;z;0;499;6;1;317;4196;3152;17824
vs12;benlakhal;1;0;13Dec2010;1351;serial;500;585;200;1;30;1.293361145;True;L;8;z;1;357;9;2;423;2730;1816;3860
vs12;benlakhal;1;0;13Dec2010;1351;serial;500;405;200;1;31;3.155043784;False;L;12;z;0;499;8;4;348;2536;1478;4092
vs12;benlakhal;1;0;13Dec2010;1352;serial;500;457;200;1;32;3.283403717;True;L;12;z;1;414;9;5;336;5900;7784;8840
vs12;benlakhal;1;0;13Dec2010;1352;serial;500;642;200;1;33;3.69829661;True;L;2;z;1;428;9;2;282;2779;1964;3678
vs12;benlakhal;1;0;13Dec2010;1352;serial;500;556;200;1;34;4.954566876;False;L;2;z;0;527;4;2;356;3252;2352;4553
vs12;benlakhal;1;0;13Dec2010;1352;serial;500;597;200;1;35;3.796683;False;L;2;z;0;483;1;1;293;14424;2894;15634
