manip,subject,session,order,mm,tm,trialType,iti,fixDur,stimDur,nBlock,nTrial,alpha,present,targType,nItems,resp,acc,rt,confidence,estNItems,estTime,confidenceRT,estNItemsRT,estTimeRT,RecRT,Erreur,Rec2Type,RecRT2,Rec2,couleur,Prime,CordCible,CordPrime,Yes/No,AV/AP,Diff,PostTest,RECORDING_SESSION_LABEL,AVERAGE_FIXATION_DURATION,AVERAGE_SACCADE_AMPLITUDE,BLINK_COUNT,BUTTON_PRESS_COUNT,FIXATION_COUNT,IP_DURATION,SACCADE_COUNT,V48,V49,training,task,trialId
vs12,am,4,2,08Feb2013,1043,mixed,500,400,2000,4,31,0.156098690631,1,L,8,a,1,363,,,,,,,,,B,1252,4,Rouge,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,26
vs12,am,4,2,08Feb2013,1057,mixed,500,400,2000,7,27,2.40212088248,0,X,4,a,1,343,,,,,,,,,A,677,1,Rouge,0,4,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,27
vs12,am,4,2,08Feb2013,1033,mixed,500,400,2000,2,12,1.32415304874,1,L,4,a,1,347,,,,,,,,,A,3076,3,Rouge,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,28
vs12,am,4,2,08Feb2013,1057,mixed,500,400,2000,7,31,4.77101899222,0,L,16,a,1,807,,,,,,,,,A,1144,1,Rouge,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,29
vs12,am,4,2,08Feb2013,1030,mixed,500,400,2000,1,26,3.96766819424,0,X,4,z,1,366,,,,,,,,,A,1417,1,Vert,0,3,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,30
vs12,am,4,2,08Feb2013,1055,mixed,500,400,2000,7,4,5.21242662573,0,X,8,z,1,343,,,,,,,,,B,2258,4,Vert,0,4,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,31
vs12,am,4,2,08Feb2013,1047,mixed,500,400,2000,5,31,4.74611727121,0,X,4,a,1,345,,,,,,,,,B,2081,4,Rouge,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,32
vs12,am,4,2,08Feb2013,1015,Ent1,500,400,2000,1,5,0.375769674935,1,L,8,a,1,878,,,,,,,,,,,,Rouge,0,5,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,33
vs12,am,4,2,08Feb2013,1043,mixed,500,400,2000,4,23,0.894757352388,1,X,4,a,1,620,,,,,,,,,A,980,1,Rouge,0,4,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,34
vs12,am,4,2,08Feb2013,1043,mixed,500,400,2000,4,20,3.47159115447,1,X,4,a,1,455,,,,,,,,,A,797,1,Rouge,0,4,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,35
