trialId,targType,couleur,is_target
1,L,Rouge,1
2,L,Rouge,1
3,L,Vert,1
4,L,Rouge,1
5,L,Vert,1
6,X,Rouge,1
7,X,Vert,1
8,X,Vert,1
9,L,Rouge,1
10,X,Vert,1
11,X,Rouge,1
12,L,Rouge,1
13,L,Vert,1
14,X,Vert,1
15,L,Rouge,1
16,X,Vert,1
17,L,Rouge,1
18,X,Vert,1
19,X,Rouge,1
20,L,Vert,1
21,L,Vert,1
22,L,Vert,1
23,L,Vert,1
24,L,Rouge,1
25,X,Rouge,1
26,L,Rouge,1
27,X,Rouge,1
28,L,Rouge,1
29,L,Rouge,1
30,X,Vert,1
31,X,Vert,1
32,X,Rouge,1
33,L,Rouge,1
34,X,Rouge,1
35,X,Rouge,1
36,X,Vert,1
37,X,Rouge,1
38,X,Vert,1
39,L,Vert,1
40,X,Vert,1
41,L,Rouge,1
42,X,Vert,1
43,X,Rouge,1
44,L,Vert,1
45,X,Vert,1
46,X,Vert,1
47,L,Rouge,1
48,X,Rouge,1
49,L,Vert,1
50,L,Vert,1
51,X,Rouge,1
52,X,Vert,1
53,L,Rouge,1
54,L,Rouge,1
55,L,Rouge,1
56,L,Vert,1
57,L,Rouge,1
58,X,Rouge,1
59,X,Vert,1
60,L,Vert,1
61,L,Vert,1
62,X,Rouge,1
63,X,Rouge,1
64,L,Vert,1
65,X,Rouge,1
66,L,Rouge,1
67,L,Vert,1
68,X,Vert,1
69,L,Rouge,1
70,X,Vert,1
71,X,Vert,1
72,X,Vert,1
73,X,Vert,1
74,X,Rouge,1
75,L,Vert,1
76,L,Rouge,1
77,L,Vert,1
78,X,Vert,1
79,X,Vert,1
80,X,Vert,1
81,X,Rouge,1
82,L,Vert,1
83,L,Rouge,1
84,X,Vert,1
85,L,Vert,1
86,X,Rouge,1
87,X,Vert,1
88,L,Vert,1
89,L,Vert,1
90,X,Rouge,1
91,X,Vert,1
92,X,Rouge,1
93,L,Rouge,1
94,L,Rouge,1
95,L,Vert,1
96,X,Rouge,1
97,L,Vert,1
98,L,Vert,1
99,X,Vert,1
100,X,Vert,1
101,L,Rouge,1
102,L,Rouge,1
103,X,Vert,1
104,L,Vert,1
105,L,Rouge,1
106,X,Vert,1
107,L,Vert,1
108,L,Rouge,1
109,X,Rouge,1
110,L,Vert,1
